body,headline,check
"LAS VEGAS‰ÛÓIn the hours following a violent rampage in Las Vegas in which a lone attacker killed more than 50 individuals and seriously injured 400 others, citizens living in the only country where this kind of mass killing routinely occurs reportedly concluded Monday that there was no way to prevent the massacre from taking place.","The Week In Pictures ‰ÛÒ Week Of October 2, 2017",fake
"WASHINGTON‰ÛÓExpressing a sense of guarded optimism that the latest incident of gun violence that left 58 dead and 500 injured in Las Vegas would be a turning point for the nation, Americans across the country confirmed Monday they were hopeful this would be the last mass shooting before all such occurrences stopped on their own for no reason at all.",Marijuana Smoke Billowing From Sides Of Le‰ÛªVeon Bell‰Ûªs Visor,fake
By Paul Ryan,Tearful Sir Saint Announces Decision To Euthanize Aging Gumbo The Dog,fake
"SAN BERNARDINO, CA‰ÛÓIn the hours following a violent rampage in southern California in which two attackers killed 14 individuals and seriously injured 17 others, citizens living in the only country where this kind of mass killing routinely occurs reportedly concluded Wednesday that there was no way to prevent the massacre from taking place.","‰Û÷No Way To Prevent This,‰Ûª Says Only Nation Where This Regularly Happens",fake
"ROSEBURG, OR‰ÛÓIn the hours following a violent rampage in southwestern Oregon in which a lone attacker killed nine individuals and seriously injured seven others, citizens living in the only country where this kind of mass killing routinely occurs reportedly concluded Thursday that there was no way to prevent the massacre from taking place.",Americans Hopeful This Will Be Last Mass Shooting Before They Stop On Their Own For No Reason,fake
By Paul Ryan,"This Shooting Isn‰Ûªt About Gun Control We Refuse To Pass, It‰Ûªs About Access To Mental Health Care We‰Ûªre Continuing To Gut",fake
"FAIRFAX, VA‰ÛÓIn the aftermath of a shooting in Las Vegas that left at least 58 people dead and more than 500 wounded, National Rifle Association officials said Monday that mass shootings are just the unfortunate price of protecting people‰Ûªs freedom to commit mass shootings.","‰Û÷No Way To Prevent This,‰Ûª Says Only Nation Where This Regularly Happens",fake
"WASHINGTON‰ÛÓExpressing a sense of guarded optimism that the latest incident of gun violence that left 58 dead and 500 injured in Las Vegas would be a turning point for the nation, Americans across the country confirmed Monday they were hopeful this would be the last mass shooting before all such occurrences stopped on their own for no reason at all.","‰Û÷No Way To Prevent This,‰Ûª Says Only Nation Where This Regularly Happens",fake
"LAS VEGAS‰ÛÓIn the hours following a violent rampage in Las Vegas in which a lone attacker killed more than 50 individuals and seriously injured 400 others, citizens living in the only country where this kind of mass killing routinely occurs reportedly concluded Monday that there was no way to prevent the massacre from taking place.","This Shooting Isn‰Ûªt About Gun Control We Refuse To Pass, It‰Ûªs About Access To Mental Health Care We‰Ûªre Continuing To Gut",fake
,NRA Says Mass Shootings Just The Unfortunate Price Of Protecting People‰Ûªs Freedom To Commit Mass Shootings,fake
"History9 p.m. EDT/8 p.m. CDTJeff looks through the Hendersons' trash to see what he can find, while partner Del tries to get video of them sleeping.",Americans Hopeful This Will Be Last Mass Shooting Before They Stop On Their Own For No Reason,fake
,"The Week In Pictures ‰ÛÒ Week Of October 2, 2017",fake
,"‰Û÷No Way To Prevent This,‰Ûª Says Only Nation Where This Regularly Happens",fake
By Paul Ryan,Saudi Official Fired Over Picture Of Yoda In Textbook,fake
By Sen. Bill Cassidy (R-LA),Hugh Hefner Dead At 91,fake
